Samp,Signal,I,Q,R,Phi
0,230,0.68,0.42,0.8,0.56
1,59,0.7,0.39,0.8,0.51
2,-145,0.7,0.48,0.85,0.61
3,-411,0.85,0.69,1.09,0.68
4,-697,1.26,0.83,1.51,0.58
5,-875,1.79,0.66,1.9,0.35
6,-1211,2.23,0.04,2.23,0.02
7,-1286,2.23,-0.77,2.36,-0.33
8,-1245,1.77,-1.4,2.26,-0.67
9,-1119,1.1,-1.62,1.95,-0.97
10,-972,0.52,-1.43,1.52,-1.22
11,-879,0.19,-0.98,1,-1.38
12,-871,0.19,-0.43,0.47,-1.15
13,-965,0.55,0.06,0.55,0.11
14,-1134,1.23,0.28,1.26,0.22
15,-1198,1.94,0.05,1.94,0.02
16,-1471,2.48,-0.7,2.58,-0.28
17,-1494,2.48,-1.64,2.97,-0.58
18,-1407,1.96,-2.35,3.06,-0.88
19,-1197,1.24,-2.58,2.87,-1.12
20,-1097,0.59,-2.37,2.44,-1.33
21,-957,0.23,-1.88,1.9,-1.45
22,-843,0.23,-1.35,1.37,-1.4
23,-1039,0.62,-0.82,1.03,-0.93
24,-1183,1.32,-0.59,1.45,-0.42
25,-1233,2.06,-0.83,2.22,-0.38
26,-1488,2.61,-1.59,3.05,-0.55
27,-1443,2.61,-2.49,3.61,-0.76
28,-1419,2.08,-3.21,3.83,-1
29,-1251,1.33,-3.45,3.7,-1.2
30,-1048,0.7,-3.25,3.32,-1.36
31,-932,0.36,-2.77,2.79,-1.44
32,-913,0.36,-2.2,2.22,-1.41
33,-999,0.73,-1.69,1.84,-1.16
34,-1158,1.42,-1.46,2.04,-0.8
35,-1396,2.25,-1.73,2.84,-0.65
36,-1420,2.78,-2.45,3.7,-0.72
37,-1459,2.77,-3.37,4.36,-0.88
38,-1366,2.27,-4.06,4.65,-1.06
39,-1226,1.53,-4.29,4.56,-1.23
40,-1057,0.9,-4.09,4.18,-1.35
41,-921,0.56,-3.61,3.66,-1.42
42,-902,0.56,-3.05,3.1,-1.39
43,-977,0.92,-2.55,2.71,-1.22
44,-1148,1.61,-2.32,2.82,-0.97
45,-1403,2.44,-2.59,3.56,-0.82
46,-1397,2.96,-3.3,4.43,-0.84
47,-1442,2.96,-4.21,5.14,-0.96
48,-1370,2.45,-4.9,5.48,-1.11
49,-1216,1.72,-5.13,5.41,-1.25
50,-1044,1.1,-4.93,5.05,-1.35
51,-904,0.76,-4.46,4.53,-1.4
52,-887,0.76,-3.9,3.98,-1.38
53,-973,1.12,-3.41,3.59,-1.25
54,-1127,1.79,-3.19,3.66,-1.06
55,-1414,2.64,-3.46,4.35,-0.92
56,-1395,3.15,-4.17,5.22,-0.92
57,-1431,3.15,-5.06,5.96,-1.01
58,-1357,2.64,-5.75,6.33,-1.14
59,-1196,1.93,-5.98,6.28,-1.26
60,-1023,1.32,-5.77,5.92,-1.35
61,-891,0.99,-5.32,5.41,-1.39
62,-877,0.99,-4.76,4.86,-1.37
63,-929,1.33,-4.29,4.49,-1.27
64,-1102,1.98,-4.07,4.53,-1.12
65,-1408,2.82,-4.34,5.18,-0.99
66,-1375,3.33,-5.04,6.04,-0.99
67,-1505,3.33,-5.98,6.84,-1.06
68,-1318,2.84,-6.65,7.23,-1.17
69,-1167,2.14,-6.87,7.2,-1.27
70,-1093,1.49,-6.65,6.82,-1.35
71,-857,1.17,-6.21,6.32,-1.38
72,-850,1.17,-5.68,5.79,-1.37
73,-938,1.51,-5.2,5.41,-1.29
74,-1111,2.18,-4.98,5.43,-1.16
75,-1266,2.93,-5.22,5.99,-1.06
76,-1431,3.46,-5.94,6.88,-1.04
77,-1460,3.46,-6.86,7.68,-1.1
78,-1391,2.94,-7.56,8.11,-1.2
79,-1199,2.22,-7.79,8.1,-1.29
80,-1033,1.6,-7.58,7.75,-1.36
81,-902,1.27,-7.12,7.23,-1.39
82,-872,1.27,-6.57,6.69,-1.38
83,-964,1.62,-6.07,6.29,-1.31
84,-1115,2.29,-5.85,6.28,-1.2
85,-1233,3.02,-6.09,6.8,-1.11
86,-1464,3.56,-6.83,7.7,-1.09
87,-1473,3.56,-7.75,8.53,-1.14
88,-1389,3.05,-8.45,8.98,-1.22
89,-1216,2.32,-8.68,8.98,-1.31
90,-1046,1.69,-8.47,8.64,-1.37
91,-928,1.35,-7.99,8.11,-1.4
92,-900,1.35,-7.42,7.55,-1.39
93,-973,1.7,-6.93,7.13,-1.33
94,-1146,2.39,-6.7,7.11,-1.23
95,-1221,3.12,-6.93,7.6,-1.15
96,-1470,3.66,-7.67,8.5,-1.13
97,-1492,3.65,-8.61,9.35,-1.17
98,-1407,3.13,-9.32,9.83,-1.25
99,-1249,2.38,-9.55,9.85,-1.33
100,-1070,1.74,-9.34,9.5,-1.39
101,-938,1.4,-8.86,8.97,-1.41
102,-924,1.4,-8.27,8.39,-1.4
103,-1003,1.77,-7.76,7.95,-1.35
104,-1163,2.46,-7.52,7.92,-1.25
105,-1219,3.19,-7.76,8.39,-1.18
106,-1487,3.73,-8.51,9.29,-1.16
107,-1499,3.73,-9.44,10.15,-1.19
108,-1437,3.2,-10.17,10.66,-1.27
109,-1270,2.44,-10.41,10.69,-1.34
110,-1026,1.82,-10.2,10.36,-1.39
111,-968,1.46,-9.7,9.81,-1.42
112,-943,1.46,-9.11,9.22,-1.41
113,-1026,1.84,-8.58,8.77,-1.36
114,-1171,2.54,-8.35,8.72,-1.28
115,-1216,3.26,-8.58,9.18,-1.21
116,-1478,3.81,-9.32,10.07,-1.18
117,-1503,3.81,-10.26,10.94,-1.22
