Samp,Signal,I,Q,R,Phi,,,,
0,-494,-0.51,0.05,0.51,3.05,,,,
1,-399,-0.65,0.25,0.7,2.78,,,,
2,-246,-0.65,0.4,0.77,2.59,,,,
3,-186,-0.58,0.5,0.77,2.44,,,,
4,-308,-0.4,0.56,0.69,2.19,,,,
5,-619,-0.03,0.44,0.44,1.64,,,,
6,-1034,0.35,-0.09,0.36,-0.25,,,,
7,-1426,0.35,-0.99,1.05,-1.23,,,,
8,-1666,-0.26,-1.83,1.85,-1.71,,,,
9,-1678,-1.27,-2.16,2.5,-2.1,,,,
10,-1469,-2.14,-1.87,2.84,-2.42,,,,
11,-1128,-2.56,-1.29,2.87,-2.67,,,,
12,-774,-2.56,-0.81,2.68,-2.84,,,,
13,-561,-2.35,-0.52,2.4,-2.92,,,,
14,-573,-2,-0.41,2.05,-2.94,,,,
15,-803,-1.52,-0.57,1.62,-2.79,,,,
16,-1161,-1.09,-1.16,1.59,-2.33,,,,
17,-1522,-1.09,-2.11,2.38,-2.05,,,,
18,-1724,-1.73,-2.99,3.45,-2.1,,,,
19,-1724,-2.76,-3.32,4.31,-2.26,,,,
20,-1502,-3.65,-3.03,4.74,-2.45,,,,
21,-1148,-4.07,-2.44,4.75,-2.6,,,,
22,-786,-4.07,-1.94,4.51,-2.7,,,,
23,-568,-3.86,-1.65,4.2,-2.74,,,,
24,-575,-3.51,-1.54,3.84,-2.73,,,,
25,-807,-3.03,-1.7,3.47,-2.63,,,,
26,-1162,-2.6,-2.29,3.46,-2.42,,,,
27,-1522,-2.6,-3.24,4.15,-2.25,,,,
28,-1726,-3.23,-4.12,5.23,-2.24,,,,
29,-1723,-4.26,-4.45,6.16,-2.33,,,,
30,-1504,-5.16,-4.15,6.62,-2.46,,,,
31,-1151,-5.58,-3.57,6.62,-2.57,,,,
32,-786,-5.57,-3.07,6.36,-2.64,,,,
33,-570,-5.36,-2.78,6.04,-2.66,,,,
34,-580,-5.01,-2.66,5.67,-2.65,,,,
35,-807,-4.52,-2.82,5.33,-2.58,,,,
36,-1164,-4.09,-3.41,5.33,-2.45,,,,
37,-1522,-4.09,-4.36,5.98,-2.32,,,,
38,-1727,-4.72,-5.24,7.05,-2.3,,,,
39,-1725,-5.75,-5.57,8.01,-2.37,,,,
40,-1504,-6.65,-5.27,8.48,-2.47,,,,
41,-1150,-7.07,-4.69,8.48,-2.56,,,,
42,-787,-7.06,-4.19,8.21,-2.61,,,,
43,-569,-6.85,-3.9,7.88,-2.62,,,,
44,-577,-6.5,-3.78,7.52,-2.61,,,,
45,-806,-6.01,-3.94,7.19,-2.56,,,,
46,-1164,-5.58,-4.53,7.18,-2.46,,,,
47,-1524,-5.58,-5.48,7.82,-2.36,,,,
48,-1727,-6.21,-6.35,8.89,-2.34,,,,
49,-1725,-7.24,-6.69,9.85,-2.4,,,,
50,-1504,-8.13,-6.39,10.34,-2.48,,,,
51,-1150,-8.55,-5.8,10.33,-2.55,,,,
52,-787,-8.55,-5.3,10.06,-2.59,,,,
53,-567,-8.33,-5.01,9.72,-2.6,,,,
54,-580,-7.98,-4.9,9.36,-2.59,,,,
55,-809,-7.49,-5.05,9.03,-2.55,,,,
56,-1164,-7.06,-5.64,9.03,-2.47,,,,
57,-1523,-7.05,-6.59,9.65,-2.39,,,,
58,-1726,-7.68,-7.46,10.71,-2.37,,,,
59,-1724,-8.71,-7.79,11.69,-2.41,,,,
60,-1504,-9.6,-7.5,12.18,-2.48,,,,
61,-1149,-10.02,-6.91,12.17,-2.54,,,,
62,-787,-10.01,-6.41,11.89,-2.57,,,,
63,-569,-9.8,-6.12,11.55,-2.58,,,,
64,-577,-9.45,-6,11.19,-2.58,,,,
65,-808,-8.96,-6.15,10.87,-2.54,,,,
66,-1164,-8.52,-6.74,10.87,-2.47,,,,
67,-1524,-8.52,-7.69,11.48,-2.41,,,,
68,-1728,-9.15,-8.57,12.54,-2.39,,,,
69,-1725,-10.17,-8.9,13.52,-2.42,,,,
70,-1504,-11.07,-8.6,14.02,-2.48,,,,
71,-1150,-11.48,-8.01,14,-2.53,,,,
72,-785,-11.48,-7.51,13.72,-2.56,,,,
73,-569,-11.26,-7.22,13.38,-2.57,,,,
74,-577,-10.91,-7.1,13.02,-2.56,,,,
75,-806,-10.42,-7.25,12.7,-2.53,,,,
76,-1164,-9.98,-7.84,12.69,-2.48,,,,
77,-1522,-9.98,-8.79,13.3,-2.42,,,,
78,-1726,-10.61,-9.66,14.35,-2.4,,,,
79,-1726,-11.63,-9.99,15.34,-2.43,,,,
80,-1504,-12.52,-9.69,15.84,-2.48,,,,
81,-1151,-12.94,-9.1,15.82,-2.53,,,,
82,-786,-12.93,-8.6,15.53,-2.55,,,,
83,-568,-12.72,-8.31,15.19,-2.56,,,,
84,-579,-12.36,-8.19,14.83,-2.56,,,,
85,-807,-11.87,-8.34,14.51,-2.53,,,,
86,-1165,-11.43,-8.93,14.51,-2.48,,,,
87,-1526,-11.43,-9.88,15.11,-2.43,,,,
88,-1728,-12.06,-10.75,16.16,-2.41,,,,
89,-1726,-13.08,-11.08,17.14,-2.44,,,,
90,-1505,-13.97,-10.78,17.65,-2.48,,,,
91,-1151,-14.39,-10.19,17.63,-2.53,,,,
92,-788,-14.38,-9.69,17.34,-2.55,,,,
93,-568,-14.16,-9.4,16.99,-2.56,,,,
94,-577,-13.81,-9.28,16.63,-2.55,,,,
95,-807,-13.32,-9.43,16.32,-2.53,,,,
96,-1163,-12.88,-10.01,16.31,-2.48,,,,
97,-1524,-12.87,-10.97,16.91,-2.44,,,,
98,-1726,-13.5,-11.84,17.95,-2.42,,,,
99,-1725,-14.52,-12.16,18.94,-2.44,,,,
100,-1505,-15.41,-11.86,19.45,-2.49,,,,
101,-1151,-15.83,-11.27,19.43,-2.52,,,,
102,-787,-15.82,-10.77,19.13,-2.54,,,,
103,-570,-15.6,-10.47,18.79,-2.55,,,,
104,-579,-15.24,-10.35,18.42,-2.54,,,,
105,-809,-14.75,-10.5,18.11,-2.52,,,,
106,-1165,-14.31,-11.09,18.1,-2.48,,,,
107,-1526,-14.3,-12.04,18.69,-2.44,,,,
108,-1729,-14.93,-12.91,19.74,-2.43,,,,
109,-1726,-15.95,-13.24,20.73,-2.45,,,,
110,-1504,-16.84,-12.94,21.24,-2.49,,,,
111,-1150,-17.25,-12.35,21.22,-2.52,,,,
112,-787,-17.24,-11.84,20.92,-2.54,,,,
113,-568,-17.02,-11.55,20.57,-2.55,,,,
114,-578,-16.67,-11.43,20.21,-2.54,,,,
115,-808,-16.17,-11.58,19.89,-2.52,,,,
116,-1167,-15.73,-12.16,19.89,-2.48,,,,
117,-1525,-15.72,-13.11,20.47,-2.45,,,,
118,-1728,-16.35,-13.98,21.51,-2.43,,,,
119,-1726,-17.37,-14.31,22.51,-2.45,,,,
120,-1505,-18.26,-14.01,23.01,-2.49,,,,
121,-1152,-18.67,-13.42,22.99,-2.52,,,,
122,-787,-18.66,-12.91,22.69,-2.54,,,,
123,-569,-18.44,-12.62,22.34,-2.54,,,,
124,-580,-18.08,-12.49,21.98,-2.54,,,,
125,-807,-17.59,-12.64,21.66,-2.52,,,,
126,-1165,-17.15,-13.23,21.66,-2.48,,,,
127,-1524,-17.14,-14.18,22.24,-2.45,,,,
128,-1728,-17.76,-15.05,23.28,-2.44,,,,
129,-1726,-18.78,-15.37,24.27,-2.46,,,,
130,-1504,-19.67,-15.07,24.78,-2.49,,,,
131,-1150,-20.08,-14.48,24.76,-2.52,,,,
132,-788,-20.07,-13.97,24.45,-2.53,,,,
133,-567,-19.85,-13.68,24.1,-2.54,,,,
134,-580,-19.49,-13.55,23.74,-2.53,,,,
135,-797,-19,-13.7,23.42,-2.52,,,,
136,-1168,-18.56,-14.29,23.42,-2.49,,,,
137,-1518,-18.54,-15.23,24,-2.45,,,,
138,-1733,-19.17,-16.1,25.04,-2.44,,,,
139,-1721,-20.19,-16.42,26.03,-2.46,,,,
140,-1510,-21.08,-16.12,26.54,-2.49,,,,
141,-1142,-21.49,-15.53,26.51,-2.52,,,,
142,-784,-21.47,-15.03,26.21,-2.53,,,,
143,-569,-21.25,-14.73,25.86,-2.54,,,,
144,-578,-20.89,-14.61,25.49,-2.53,,,,
145,-800,-20.4,-14.75,25.18,-2.52,,,,
146,-1167,-19.96,-15.34,25.17,-2.49,,,,
147,-1526,-19.94,-16.29,25.75,-2.46,,,,
148,-1730,-20.57,-17.16,26.79,-2.45,,,,
149,-1727,-21.59,-17.48,27.78,-2.46,,,,
150,-1506,-22.47,-17.18,28.29,-2.49,,,,
151,-1151,-22.89,-16.58,28.26,-2.51,,,,
152,-787,-22.87,-16.08,27.96,-2.53,,,,
153,-572,-22.65,-15.78,27.6,-2.53,,,,
154,-578,-22.29,-15.65,27.23,-2.53,,,,
155,-808,-21.79,-15.8,26.92,-2.51,,,,
156,-1166,-21.35,-16.38,26.91,-2.49,,,,
157,-1526,-21.33,-17.33,27.49,-2.46,,,,
158,-1728,-21.96,-18.2,28.52,-2.45,,,,
159,-1726,-22.97,-18.52,29.51,-2.46,,,,
160,-1505,-23.86,-18.22,30.02,-2.49,,,,
161,-1153,-24.27,-17.62,29.99,-2.51,,,,
162,-796,-24.25,-17.11,29.68,-2.53,,,,
163,-574,-24.03,-16.81,29.32,-2.53,,,,
