Samp,Signal,I,Q,R,Phi,,,,
0,-325,0.02,0.37,0.37,1.52,,,,
1,-358,-0.11,0.55,0.56,1.77,,,,
2,-227,-0.11,0.69,0.7,1.73,,,,
3,-91,-0.08,0.74,0.74,1.68,,,,
4,-77,-0.03,0.75,0.75,1.62,,,,
5,-258,0.12,0.7,0.71,1.4,,,,
6,-611,0.35,0.39,0.52,0.85,,,,
7,-1045,0.35,-0.26,0.44,-0.65,,,,
8,-1417,-0.18,-0.98,1,-1.75,,,,
9,-1621,-1.15,-1.3,1.73,-2.29,,,,
10,-1586,-2.09,-0.99,2.32,-2.7,,,,
11,-1346,-2.59,-0.31,2.61,-3.02,,,,
12,-1003,-2.59,0.33,2.61,3.02,,,,
13,-683,-2.33,0.67,2.43,2.86,,,,
14,-534,-2.01,0.78,2.16,2.77,,,,
15,-599,-1.65,0.66,1.78,2.76,,,,
16,-866,-1.33,0.22,1.35,2.98,,,,
17,-1243,-1.33,-0.56,1.45,-2.74,,,,
18,-1573,-1.91,-1.36,2.35,-2.52,,,,
19,-1743,-2.95,-1.7,3.41,-2.62,,,,
20,-1681,-3.95,-1.37,4.19,-2.81,,,,
21,-1421,-4.48,-0.65,4.52,-3,,,,
22,-1054,-4.47,0.01,4.47,3.14,,,,
23,-716,-4.21,0.38,4.22,3.05,,,,
24,-553,-3.87,0.48,3.9,3.02,,,,
25,-613,-3.5,0.36,3.52,3.04,,,,
26,-877,-3.18,-0.08,3.18,-3.12,,,,
27,-1250,-3.18,-0.87,3.29,-2.88,,,,
28,-1583,-3.76,-1.67,4.11,-2.72,,,,
29,-1747,-4.8,-2.01,5.2,-2.75,,,,
30,-1687,-5.81,-1.68,6.04,-2.86,,,,
31,-1425,-6.33,-0.95,6.4,-2.99,,,,
32,-1058,-6.32,-0.29,6.33,-3.1,,,,
33,-716,-6.06,0.08,6.06,3.13,,,,
34,-554,-5.72,0.18,5.72,3.11,,,,
35,-612,-5.35,0.06,5.35,3.13,,,,
36,-877,-5.02,-0.38,5.04,-3.07,,,,
37,-1251,-5.02,-1.17,5.16,-2.91,,,,
38,-1582,-5.6,-1.97,5.94,-2.8,,,,
39,-1747,-6.64,-2.31,7.03,-2.81,,,,
40,-1687,-7.65,-1.98,7.9,-2.89,,,,
41,-1425,-8.17,-1.25,8.26,-2.99,,,,
42,-1059,-8.16,-0.59,8.18,-3.07,,,,
43,-717,-7.89,-0.22,7.9,-3.11,,,,
44,-554,-7.56,-0.12,7.56,-3.13,,,,
45,-613,-7.19,-0.23,7.19,-3.11,,,,
