Samp,Signal,I,Q,R,Phi
0,325,1.73,1.22,2.12,0.62
1,-702,1.47,1.58,2.16,0.82
2,-1512,1.47,2.53,2.92,1.04
3,-1893,2.17,3.49,4.1,1.01
4,-1779,3.23,3.83,5.01,0.87
5,-1270,3.98,3.58,5.36,0.73
6,-607,4.21,3.27,5.33,0.66
7,-67,4.2,3.23,5.3,0.65
8,65,4.22,3.26,5.33,0.66
9,-135,4.14,3.23,5.25,0.66
10,-760,3.68,3.37,5,0.74
11,-1500,3.13,4.13,5.18,0.92
12,-2107,3.13,5.46,6.29,1.05
13,-2336,3.99,6.64,7.74,1.03
14,-2107,5.24,7.04,8.78,0.93
15,-1511,6.14,6.75,9.12,0.83
16,-744,6.41,6.36,9.03,0.78
17,-131,6.41,6.28,8.97,0.78
18,33,6.42,6.29,8.99,0.78
19,-156,6.32,6.26,8.89,0.78
20,-776,5.85,6.4,8.67,0.83
21,-1510,5.29,7.17,8.91,0.93
22,-2113,5.29,8.49,10,1.01
23,-2341,6.15,9.67,11.46,1
24,-2114,7.41,10.08,12.51,0.94
25,-1514,8.31,9.78,12.83,0.87
26,-746,8.58,9.39,12.72,0.83
27,-133,8.57,9.3,12.65,0.83
28,31,8.58,9.31,12.66,0.83
29,-154,8.48,9.28,12.57,0.83
30,-775,8.01,9.42,12.37,0.87
31,-1514,7.45,10.18,12.62,0.94
32,-2117,7.44,11.51,13.71,1
33,-2342,8.3,12.69,15.17,0.99
34,-2115,9.56,13.09,16.21,0.94
35,-1515,10.46,12.79,16.52,0.89
36,-747,10.73,12.4,16.4,0.86
37,-133,10.72,12.31,16.33,0.85
38,31,10.73,12.32,16.34,0.85
39,-157,10.63,12.28,16.24,0.86
40,-777,10.16,12.42,16.05,0.89
41,-1512,9.59,13.19,16.31,0.94
42,-2115,9.59,14.51,17.39,0.99
43,-2342,10.45,15.69,18.85,0.98
44,-2115,11.7,16.09,19.89,0.94
45,-1515,12.6,15.78,20.2,0.9
46,-745,12.87,15.39,20.06,0.87
47,-135,12.86,15.3,19.99,0.87
48,30,12.86,15.31,19.99,0.87
49,-157,12.76,15.27,19.9,0.87
50,-777,12.29,15.41,19.71,0.9
51,-1512,11.72,16.17,19.97,0.94
52,-2118,11.71,17.49,21.05,0.98
53,-2343,12.57,18.67,22.5,0.98
54,-2114,13.83,19.06,23.55,0.94
55,-1516,14.72,18.76,23.85,0.91
56,-747,14.99,18.37,23.71,0.89
57,-134,14.98,18.27,23.63,0.88
58,31,14.98,18.28,23.63,0.88
59,-155,14.88,18.23,23.54,0.89
60,-778,14.41,18.37,23.35,0.91
61,-1514,13.84,19.13,23.61,0.94
62,-2116,13.83,20.45,24.69,0.98
63,-2345,14.69,21.63,26.14,0.97
64,-2115,15.94,22.02,27.19,0.94
65,-1515,16.84,21.72,27.48,0.91
66,-746,17.1,21.32,27.33,0.89
67,-135,17.09,21.22,27.25,0.89
68,31,17.09,21.23,27.25,0.89
69,-157,16.99,21.18,27.15,0.89
70,-775,16.51,21.32,26.97,0.91
71,-1513,15.94,22.08,27.23,0.95
72,-2116,15.93,23.39,28.3,0.97
73,-2345,16.79,24.57,29.76,0.97
74,-2115,18.04,24.96,30.8,0.94
75,-1514,18.94,24.65,31.09,0.92
76,-746,19.2,24.26,30.94,0.9
77,-134,19.19,24.16,30.85,0.9
78,30,19.19,24.16,30.85,0.9
79,-157,19.08,24.11,30.75,0.9
80,-777,18.6,24.25,30.56,0.92
81,-1513,18.03,25,30.83,0.95
82,-2116,18.02,26.32,31.9,0.97
83,-2344,18.88,27.49,33.35,0.97
84,-2116,20.13,27.88,34.39,0.95
85,-1516,21.02,27.57,34.67,0.92
86,-747,21.28,27.18,34.52,0.91
87,-134,21.27,27.07,34.43,0.9
88,31,21.27,27.07,34.43,0.9
89,-157,21.16,27.03,34.33,0.91
90,-778,20.68,27.16,34.14,0.92
91,-1513,20.11,27.91,34.4,0.95
92,-2117,20.1,29.22,35.47,0.97
93,-2345,20.95,30.4,36.92,0.97
94,-2114,22.2,30.79,37.96,0.95
95,-1515,23.09,30.48,38.24,0.92
96,-747,23.36,30.08,38.08,0.91
97,-134,23.34,29.97,37.99,0.91
98,31,23.34,29.97,37.99,0.91
99,-156,23.23,29.92,37.88,0.91
100,-777,22.75,30.05,37.69,0.92
101,-1514,22.18,30.8,37.96,0.95
102,-2116,22.16,32.11,39.02,0.97
103,-2343,23.01,33.28,40.47,0.97
104,-2115,24.26,33.67,41.5,0.95
105,-1515,25.15,33.36,41.78,0.92
106,-746,25.41,32.96,41.62,0.91
107,-134,25.4,32.85,41.53,0.91
108,29,25.39,32.85,41.52,0.91
109,-157,25.28,32.8,41.41,0.91
110,-776,24.8,32.93,41.22,0.93
111,-1513,24.23,33.67,41.49,0.95
112,-2118,24.21,34.98,42.55,0.97
113,-2343,25.06,36.15,43.99,0.96
114,-2116,26.31,36.54,45.03,0.95
115,-1516,27.2,36.22,45.3,0.93
116,-747,27.46,35.82,45.14,0.92
117,-133,27.44,35.72,45.04,0.92
118,31,27.44,35.71,45.03,0.92
119,-156,27.33,35.66,44.92,0.92
120,-777,26.84,35.78,44.73,0.93
121,-1515,26.27,36.53,45,0.95
122,-2117,26.25,37.84,46.05,0.96
123,-2342,27.1,39,47.5,0.96
124,-2114,28.35,39.39,48.53,0.95
125,-1514,29.23,39.07,48.8,0.93
126,-746,29.49,38.67,48.63,0.92
127,-125,29.47,38.57,48.54,0.92
128,34,29.47,38.56,48.53,0.92
129,-157,29.35,38.5,48.42,0.92
130,-777,28.87,38.63,48.23,0.93
131,-1514,28.29,39.38,48.49,0.95
132,-2116,28.28,40.68,49.54,0.96
133,-2345,29.12,41.85,50.98,0.96
134,-2115,30.37,42.23,52.02,0.95
135,-1514,31.25,41.91,52.28,0.93
136,-741,31.51,41.51,52.11,0.92
137,-134,31.49,41.4,52.01,0.92
138,29,31.48,41.39,52,0.92
139,-157,31.37,41.33,51.88,0.92
140,-776,30.88,41.45,51.69,0.93
141,-1515,30.3,42.2,51.95,0.95
142,-2115,30.28,43.5,53,0.96
143,-2343,31.13,44.66,54.44,0.96
144,-2114,32.37,45.04,55.47,0.95
145,-1515,33.26,44.72,55.73,0.93
146,-746,33.51,44.32,55.56,0.92
147,-134,33.49,44.2,55.46,0.92
148,30,33.48,44.19,55.44,0.92
149,-157,33.37,44.13,55.33,0.92
150,-777,32.88,44.26,55.13,0.93
151,-1515,32.3,45,55.39,0.95
152,-2116,32.28,46.3,56.44,0.96
153,-2343,33.13,47.46,57.88,0.96
154,-2116,34.37,47.84,58.91,0.95
155,-1515,35.25,47.52,59.17,0.93
156,-745,35.51,47.11,58.99,0.92
157,-135,35.48,46.99,58.89,0.92
158,30,35.47,46.98,58.87,0.92
159,-156,35.36,46.92,58.75,0.93
160,-776,34.87,47.04,58.56,0.93
